Client Number,Name,State,Address,City,"Longitude , Latitude"
TN2619,HAIR GLOBAL ANTIOCH (TN2619),TN,"2619 MURFREESBORO PIKE, NASHVILLE, TN 37217",NASHVILLE,"36.072366, -86.6381883"
TN3719,HAIR GLOBAL BEAUTY SUPPLY (TN3719),TN,"3719-B CLARKSVILLE PIKE, NASHVILLE, TN 37218",NASHVILLE,"36.198592310173204, -86.83952897568358"
TN1442,STAR BEAUTY (TN1442),TN,"1442 E CHESTER ST, JACKSON, TN 38301",JACKSON,"35.61165979401491, -88.79295488303394"
TN2110,UNIVERSAL BEAUTY-2 (TN2110),TN,"2110 N HIGHLAND AVE, JACKSON, TN 38305",JACKSON,"35.65982623187922, -88.82752245960468"
TN125,BEAUTY & STYLE (TN125),TN,"125 AIRWAYS BLVD, JACKSON, TN 38301",JACKSON,"35.61620559336648, -88.82514773447981"
TN1890,BEAUTY TRENDZ CORDOVA-BEAUTY SUPPLY (TN1890),TN,"1890 N GERMANTOWN PKWY, CORDOVA, TN 38016",CORDOVA,"35.17716633706966, -89.79193827918785"
TN7745,BEAUTY TRENDZ WINCHESTER-BEAUTY SUPPLY (TN7745),TN,"7745 WINCHESTER RD, MEMPHIS, TN38125",MEMPHIS,"35.04715529210459, -89.80543354428544"
TN6645,BEAUTY TRENDZ SHELBY (TN6645),TN,"6645 E SHELBY DR, MEMPHIS, TN 38141",MEMPHIS,"35.02016741711502, -89.84178740381418"
TN1396,BEAUTY MASTER BEAUTY SUPPLY (TN1396),TN,"1396 E SHELBY DR, MEMPHIS, TN 381116",MEMPHIS,"35.02162150123184, -90.01742780566892"
TN3206,BEAUTY MASTER BEAUTY SUPPLY (TN3206),TN,"3206 S PERKINS RD, MEMPHIS, TN 38118",MEMPHIS,"35.061568911589006, -89.9050623461396"
TN1070,HAIR GALLERIA (TN1070),TN,"1070 E RAINES RD, MEMPHIS, TN 38116",MEMPHIS,"35.03616339778394, -90.02757175963148"
TN5055,HAIR GALLERIA (TN5055),TN,"5055 STAGE RD, MEMPHIS, TN 38128",MEMPHIS,"35.20672526180169, -89.8955294191518"
AR101,BEAUTY TRENDZ WEST MEMPHIS- BEAUTY SUPPLY (AR101),AR,"101 DOVER RD, WEST MEMPHIS, AR 72301",WEST MEMPHIS,"35.16219336591441, -90.1853145326445"
AR7509 ,BEAUTY & BEYOND (AR7509) ,AR,"7509 CANTRELL RD #2, LITTLE ROCK, AR 72207",LITTLE ROCK,"34.77066046153567, -92.35661433080632"
AR6420,SUPREME HAIR & BEAUTY (AR6420),AR,"6420 COLONEL GLENN RD SUITE 1C, LITTLE ROCK, AR 72204",LITTLE ROCK,"34.71947273751799, -92.34849426149972"
AR8821,99 CENTS PLUS (AR8821),AR,"8709 GEYER SPRINGS RD, LITTLE ROCK, AR 72209",LITTLE ROCK,"34.67175983997331, -92.34284984615616"
AR1200,QUEEN HAIR & BEAUTY SUPPLIES (AR1200),AR,"1200 JOHN BARROW RD #107, LITTLE ROCK, AR 72205",LITTLE ROCK,"34.739185853025205, -92.37185100382607"
AR5917,SUPREME HAIR & BEAUTY 3 (AR5917),AR,"5917 BASELINE RD, LITTLE ROCK, AR 72209",LITTLE ROCK,"34.66881202453741, -92.34336956150183"
AR5411,BEAUTY MANIA & MORE (AR5411) ,AR,"5411 DOLLARWAY RD, PINE BLUFF, AR 71602",PINE BLUFF,"34.24561994098566, -92.06233367686515"
AR2612,BEAUTY MANIA BEAUTY SUPPLY (AR2612),AR,"2612 S OLIVE ST, PINE BLUFF, AR 71601",PINE BLUFF,"34.2025595401405, -92.00727904617575"
AR1600,BEAUTY MANIA BEAUTY SUPPLY (AR1600),AR,"1600 S LINDEN ST, PINE BLUFF, AR 71603",PINE BLUFF,"34.213185573281095, -92.01470758664773"
AR926,BUY AND SAVE HAIR & BEAUTY SUPPLY (AR926),AR,"926 N STATE LINE AVE, TEXARKANA, AR 71854",TEXARKANA,"33.43245569918077, -94.04270040202545"
TX3330,BEAUTY & BEYOND (TX3330),TX,"3330 N GALLOWAY AVE, MESQUITE, TX 75150",MESQUITE,"32.81214174599064, -96.60891497321398"
TX19079,SUPREME HAIR AND BEAUTY MESQUITE (TX19079),TX,"19079 LYNDON B JOHNSON FWY, MESQUITE, TX 75150",MESQUITE,"32.79656210285045, -96.62857624252338"
TX1514,DIAMOND BEAUTY SUPPLY (TX1514),TX,"1514 W PLEASANT RUN RD, LANCASTER, TX 75146",LANCASTER,"32.60397913656616, -96.78949291925906"
TX3753,THE HAIR DEPOT (TX3753),TX,"3753 W CAMP WISDOM RD, DALLAS, TX 75237",DALLAS,"32.66346625211689, -96.88101741740194"
TX7150,BEAUTY SUPPLY (TX7150),TX,"7150 CHAUCER PL, DALLAS, TX 75237",DALLAS,"32.661546420282754, -96.86748809042044"
TX934,SUPREME HAIR & BEAUTY (TX934),TX,"934 E COPELAND RD STE 100, ARLINGTON, TX 76011",ARLINGTON,"32.75852558139447, -97.09528992806695"
TX2107,SAVE MORE BEAUTY SUPPLY (TX2107) ,TX,"2107 W GENTRY PKWY, TYLER, TX 75702",TYLER,"32.36623138772216, -95.32396937508645"
TX1702,SAVE MORE HAIR & BEAUTY (TX1702),TX,"1702 S SE LOOP 323, TYLER, TX 75701",TYLER,"32.331131681959846, -95.26502274625142"
TX1202 ,SAVE MORE BEAUTY SUPPLY (TX1202),TX,"1202 S HIGH ST, LONGVIEW, TX 75602",LONGVIEW,"32.47811729348395, -94.74235634624571"
TX6513,SUPREME HAIR & BEAUTY FORT WORTH (TX6513),TX,"6513 MEADOWBROOK DR, FORT WORTH, TX 76112",FORT WORTH,"32.74686612909047, -97.217499902053"
TX3540,SUPREME HAIR & BEAUTY (TX3540),TX,"3540 ALTAMESA BLVD, FORT WORTH, TX 76133",FORT WORTH,"32.65193390633123, -97.36851767693001"
TX13331,BEAUTY QUEEN HAIR & BEAUTY SUPPLY (TX13331),TX,"13331 KUYKENDAHL RD, HOUSTON, TX 77090",HOUSTON,"29.97881993056392, -95.43513574634052"
TX2107,SAVE MORE BEAUTY SUPPLY (TX2107) ,TX,"2107 W GENTRY PKWY, TYLER, TX 75702",TYLER,"32.36618607749916, -95.32407666345047"
TX1702,SAVE MORE HAIR & BEAUTY (TX1702),TX,"1702 S SE LOOP 323, TYLER, TX 75701",TYLER,"32.33109541971618, -95.26502274625142"
TX4715,INFINITE BEAUTY (TX4715),TX,"4715 HWY 6 N, HOUSTON, TX 77084",HOUSTON,"29.844403761843587, -95.6472407426358"
LA1208,DOLLAR MANIA (LA1208),LA,"1208 HOMER RD, MINDEN, LA 71055",MINDEN,"32.62368956909631, -93.25256674623986"
LA2925,DOLLAR MANIA (LA2925),LA,"2925 E TEXAS ST, BOSSIER CITY, LA 71111",BOSSIER CITY,"32.52915346761476, -93.70800950391649"
LA1509,DOLLAR MANIA (LA1509),LA,"1509 E BERT KOUNS INDUSTRIAL LOOP, SHREVPORT, LA 71105",SHREVPORT,"32.42859507105062, -93.71643694995721"
LA6713,DOLLAR MANIA (LA6713),LA,"6713 PINES RD, SHREVPORT, LA 71129",SHREVPORT,"32.449194002056046, -93.86354350391962"
LA2612,DOLLAR MANIA (LA2612),LA,"2612 HOLLYWOOD AVE, SHREVPORT, LA 71108",SHREVPORT,"32.45710446491973, -93.77874998486409"
LA462,DOLLAR MANIA (LA462),LA,"462 E 70TH ST, SHREVPORT, LA 71106",SHREVPORT,"32.44234289143861, -93.74910318857424"
LA3515,DOLLAR MANIA (LA3515),LA,"3515 JEWELLA AVE, SHREVPORT, LA 71109",SHREVPORT,"32.480227084640944, -93.79672854995523"
LA758,SUPREME BEAUTY 8 INC (LA758),LA,"758 SHREVPORT BARKSDALE HWY, SHREVPORT, LA 71105",SHREVPORT,"32.4807552, -93.7156603"
LA1913,DOLLAR PLUS BEAUTY SUPPLY (LA1913),LA,"1913 N MARKET ST SUITE A, SHREVEPORT, LA 71107",SHREVEPORT,"32.54461610042146, -93.7782297057706"
LA2014,GITANA BEAUTY SUPPLY & HAIR (LA2014),LA,"2014 JEWELLA AVE, SHREVPORT, LA71109",SHREVPORT,"32.49245420826269, -93.79790872111828"
LA1103,HAIR EMPIRE (LA1103),LA,"1103 SHREVPORT BARKSDALE HWY, LA71105",SHREVPORT,"32.48473582701473, -93.70753508857263"
LA2600,HAIR GALLERIA (LA2600),LA,"2600 WAGGONER AVE SUITE 208, SHREVEPORT, LA 71108",SHREVEPORT,"32.45441137820676, -93.77810258857377"
LA942,LUMOISTY LLC (LA942),LA,"942 CANDLER AVE, SHREVEPORT, LA71107",SHREVEPORT,"32.5710846, -93.7887207"
LA507,STEPPING UP BEAUTY SUPPLY (LA507),LA,"507 MARTIN LUTHER KING JUNIOR DRIVE, MONROE, LA 71203",MONROE,"32.514601, -92.0796799"
LA301,FIVE STAR BEAUTY & GALLERY (LA301),LA,"301 STERLINGTON RD, MONROE, LA 71203",MONROE,"32.5250237, -92.0822948"
LA1313,HAIR GALLERIA (LA1313),LA,"1313 WINNSBORO ROAD, MONROE, LA 71202",MONROE,"32.4855066, -92.0900078"
LA213,FIVE STAR BEAUTY (LA213),LA,"213 NORTH SERVICE RD E, RUSTON, LA 71270",RUSTON,"32.5423329, -92.6354829"
LA495,J-LO BEAUTY SUPPLY (LA495),LA,"495 VOTERS RD, SLIDELL, LA 70461",SLIDELL,"30.2551989, -89.7539116"
LA199,BEAUTY & MORE SLIDELL (LA199),LA,"199 GAUSE BLVD W, SLIDELL, LA 70460",SLIDELL,"30.2874931, -89.7821372"
LA70461,TOP TIER BEAUTY SUPPLY (LA70461),LA,"4040 PONTCHARTRAIN DR, SLIDELL, LA70461",SLIDELL,"30.2480321, -89.79253159999999"
LA4314,SEREEN BEAUTY SUPPLY (LA4314),LA,"4314 DOWNMAN RD, NEW ORLEANS, LA 70126",NEW ORLEANS,"30.0138399, -90.0220837"
LA3640,SEREEN BEAUTY SUPPLY (LA3640),LA,"3640 MACARTHUR BLVD, NEW ORLEANS, LA 70114",NEW ORLEANS,"29.9259598, -90.01898910000001"
LA4819,HOUSE OF BEAUTY (LA4819),LA,"4819 DOWNMAN RD, NEW ORLEANS, LA 70126",NEW ORLEANS,"30.0179298, -90.02143960000001"
LA5741,#1 BEAUTY SUPPLY WOMEN'S APPAREL (LA5741),LA,"5741 CROWDER BLVD, NEW ORLEANS, LA 70127",NEW ORLEANS,"30.0281414, -89.99141780000001"
LA9820,BEAUTY & MORE NOLA (LA9820),LA,"9820 LAKE FOREST BLVD, NEW ORLEANS, LA 70127",NEW ORLEANS,"30.0295449, -89.9785409"
LA6003,BELLA HAIR & BEAUTY (LA6003),LA,"6003 BULLARD AVE, NEW ORLEANS, LA 70128",NEW ORLEANS,"30.0437765, -89.95707209999999"
LA7042,GENA BEAUTY SUPPLY (LA7042),LA,"7042 BULLARD AVE, NEW ORLEANS, LA 70128",NEW ORLEANS,"30.0481469, -89.9631539"
LA7045,READ BEAUTY SUPPLY (LA7045),LA,"7045 READ BLVD, NEW ORLEANS, LA 70127",NEW ORLEANS,"30.0395728, -89.97722590000001"
LA7040,HAIR KINGDOM BEAUTY-EAST (LA7040),LA,"7040 READ BLVD, NEW ORLEANS, LA 70127",NEW ORLEANS,"30.0390696, -89.977851"
LA9673,CRYSTAL BEAUTY SUPPLY (LA9673),LA,"9673 CHEF MENTEUR HWY, NEW ORLEANS, LA 70127",NEW ORLEANS,"30.01882729999999, -89.9730532"
LA7939,MIAMI BEAUTY SUPPLY (LA7939),LA,"7939 CHEF MENTEUR HWY, NEW ORLEANS, LA 70126",NEW ORLEANS,"30.01356029999999, -89.9932652"
LA2147,BEAUTY KINGDOM (LA2147),LA,"2147 S CLAIBORNE AVE STE A, NEW ORLEANS, LA 70125",NEW ORLEANS,"29.9457548, -90.0902704"
LA2122,QUEENS BEAUTY SUPPLY (LA2122),LA,"2122 S CLAIBORNE AVE, NEW ORLEANS, LA 70125",NEW ORLEANS,"29.9451135, -90.0891913"
LA8244,OPRAH BEAUTY SUPPLY (LA8244),LA,"8244 S CLAIBORNE AVE, NEW ORLEANS, LA 70118",NEW ORLEANS,"29.9570688, -90.12250829999999"
LA2425,BROTHERS BEAUTY SUPPLY (LA2425),LA,"2425 WILLIAMS BLVD, KENNER, LA 70062",KENNER,"30.0035277, -90.2401207"
LA400,BEAUTY MASTER BEAUTY SUPPLY (LA400),LA,"400 LAPALCO BLVD, GRETNA, LA 70056",GRETNA,"29.8810652, -90.02878869999999"
LA5939,BEAUTY MASTER BEAUTY SUPPLY (LA5939),LA,"5939 LAPALCO BLVD, MARRERO, LA 70072",MARRERO,"29.8739286, -90.1101297"
LA1166,MAX BEAUTY SUPPLY (LA1166),LA,"1166 TERRY PKWY, TERRYTOWN, LA 70056",TERRYTOWN,"29.8908616, -90.0315866"
LA809,EBONI BEAUTY & HAIR (LA809),LA,"809 BEHRMAN HWY SUITE 101, TERRYTOWN, LA 70056",TERRYTOWN,"29.8933489, -90.0187118"
LA801,BROTHERS BEAUTY SUPPLY (LA801),LA,"801 BEHRMAN HWY SUITE 101, TERRYTOWN, LA 70056",TERRYTOWN,"29.8941962, -90.0188924"
LA4023,BEAUTY MASTER BEAUTY SUPPLY (LA4023),LA,"4023 BEHRMAN HWY, NEW ORLEANS, LA 70114",NEW ORLEANS,"29.9101683, -90.019832"
LA3038,J-LO BEAUTY SUPPLY (LA3038),LA,"3038 HOLIDAY DR, NEW ORLEANS, LA 70131",NEW ORLEANS,"29.921942, -90.0119682"
LA4820,ALLURE BEAUTY SUPPLY (LA4820),LA,"4820 GENERAL MEYER AVE, NEW ORLEANS, LA 70131",NEW ORLEANS,"29.9330808, -90.0037522"
LA3624,AVEDA HAIR & BEAUTY (LA3624),LA,"3624 GENERAL DE GAULLE DR, NEW ORLEANS, LA 70114",NEW ORLEANS,"29.924088, -90.018208"
LA64,HAIR KINGDOM BEAUTY SUPERCENTER (LA64),LA,"64 WESTBANK EXPY, GRENTA, LA 70053",GRENTA,"29.9127908, -90.04838160000001"
LA61,SISTER'S BEAUTY SUPPLY (LA61),LA,"61 HOLMES BLVD SUITE A, TERRYTOWN, LA 70056",TERRYTOWN,"29.92058759999999, -90.0335494"
LA1452,BEAUTY & BEYOND (LA1452),LA,"1452 N BROAD ST, NEW ORLEANS, LA 70119",NEW ORLEANS,"29.9768313, -90.07708570000001"
LA2001,ST. BERNARD BEAUTY SUPPLY (LA2001),LA,"2001 ST BERNARD AVE, NEW ORLEANS, LA 70116",NEW ORLEANS,"29.9771105, -90.06780239999999"
LA2020,ELEGANCE BEAUTY SUPPLY (LA2020),LA,"2020 N CLAIBORNE AVE, NEW ORLEANS, LA 70116",NEW ORLEANS,"29.9729253, -90.0590654"
LA1603,MAC BEAUTY SUPPLY (LA1603),LA,"1603 FRANKLIN AVE, NEW ORLEANS, LA 70117",NEW ORLEANS,"29.9742705, -90.0481513"
LA3125,HOUSE OF BEAUTY (LA3125),LA,"3125 SAINT CLAUDE AVE #3, NEW ORLEANS, LA 70117",NEW ORLEANS,"29.9678389, -90.0434248"
LA3423,ONE MINUTE SUPPLY (LA3423),LA,"3423 LOUISA ST, NEW ORLEANS, LA 70126",NEW ORLEANS,"29.9925971, -90.0345072"
LA4301,MAC BEAUTY & HAIR STYLIST (LA4301),LA,"4301 LOUISA ST, NEW ORLEANS, LA 70126",NEW ORLEANS,"30.0060831, -90.03611579999999"
LA6600,BEAUTY & BEYOND (LA6600),LA,"6600 FRANKLIN AVE, NEW ORLEANS, LA 70122",NEW ORLEANS,"30.0284214, -90.0544264"
LA3124,GENA BEAUTY SUPPLY (LA3124),LA,"3124 LOYOLA DR, KENNER, LA 70065",KENNER,"30.01120179999999, -90.2659104"
LA331,SEREEN BEAUTY SUPPLY (LA331),LA,"331 VETERANS MEMORIAL BLVD, NEW ORLEANS, LA 70062",NEW ORLEANS,"30.0048106, -90.2667357"
LA8998,LOVE'S BEAUTY SUPPLY (LA8998),LA,"8998 WESTBANK EXPY, WESTWEGO, LA 70094",WESTWEGO,"29.9069891, -90.1595153"
LA1036,BEAUTY MART (LA1036),LA,"1036 WESTBANK EXPY, WESTEGO, LA 70094",WESTEGO,"29.8968868, -90.1428203"
LA5236,SEREEN BEAUTY SUPPLY (LA5236),LA,"5236 LAPLACO BLVD, MARRERO, LA 70072",MARRERO,"29.8757945, -90.1056703"
LA4800,EYONCE BEAUTY SUPPLY (LA4800),LA,"4800 CHEF MENETEUR HWY, NEW ORLEANS, LA 70126",NEW ORLEANS,"30.0055722, -90.03287189999999"
LA7500,ALL PLUS DEPOT (LA7500),LA,"7500 BULLARD AVE, NEW ORLEANS, LA 70128",NEW ORLEANS,"30.0510821, -89.9669823"
LA3129,CORNER BEAUTY SUPPLY (LA3129),LA,"3129 GENTILLY BLVD, NEW ORLEANS, LA 70122",NEW ORLEANS,"29.9991844, -90.0600496"
LA5703,TOWER BEAUTY SUPPLY (LA5703),LA,"5703 READ BLVD, NEW ORLEANS, LA 70127",NEW ORLEANS,"30.03404, -89.97359229999999"
LA3926,BEAUTY EXPRESS 2 (LA3926),LA,"3926 BARRON ST #C100, METAIRIE, LA70002",METAIRIE,"30.0021441, -90.1731865"
LA2309,DIAMOND BEAUTY LLC (LA2309),LA,"2309 MANHATTAN BLVD SUITE 2, HARVEY, LA70058",HARVEY,"29.8801095, -90.0506315"
LA3251,GENTLEMEN'S BARBERSHOP (LA3251),LA,"3251 MANHATTEN BLVD STE B2C, HARVEY, LA70058",HARVEY,"29.8616335, -90.0459351"
LA2785,ROYAL PALACE WIG BOUTIQUE&SALON SUITES (LA2785),LA,"2785 BELLECHASE HWY, GRENTA, LA70056",GRENTA,"29.8824112, -90.0216258"
LA2029,YARA BEAUTY SUPPLY (LA2029),LA,"2029 WILLIAMS BLVD, KENNER, LA70962",KENNER,"29.99356809999999, -90.2423142"
LA3648,HAIR TALK (LA3648),LA,"3648 GENERAL DEGAULLE DR, NEW ORLEANS, LA70114",NEW ORLEANS,"29.9238064, -90.0177894"
LA5953,HAIR GALLERIA (LA5953),LA,"5953 PLANK RD, BATON ROUGE, LA 70805",BATON ROUGE,"30.5036166, -91.153483"
LA9620,HAIR GALLERIA BEAUTY SUPPLY (LA9620),LA,"9620 FLORIDA BLVD, BATON ROUGE, LA 70815",BATON ROUGE,"30.4537964, -91.08017149999999"
LA12929,PRINCESS BEAUTY SUPPLY (LA12929),LA,"12929 COURSEY BLVD, BATON ROUGE, LA 70816",BATON ROUGE,"30.4104276, -91.03508889999999"
LA7028,PRINCESS BEAUTY SUPPLY (LA7028),LA,"7028 MICKENS RD, BATON ROUGE, LA 70811",BATON ROUGE,"30.5178818, -91.120538"
LA702,PRINCESS BEAUTY SUPPLY (LA702),LA,"702 N LOBDELL HWY, PORT ALLEN, LA 70767",PORT ALLEN,"30.4564723, -91.2479553"
LA7344,JASMINES BEAUTY SUPPLY (LA7344),LA,"7344 AIRLINE HWY, BATON ROUGE, LA 70805",BATON ROUGE,"30.4802845, -91.11608629999999"
LA2202,JASMINES BEAUTY SUPPLY (LA2202),LA,"2202 N SHERWOOD FOREST DR, BATON ROUGE, LA 70815",BATON ROUGE,"30.4683663, -91.0577727"
LA9945,LUNA'S BEAUTY SUPPLY (LA9945),LA,"9945 AIRLINE HWY SUITE F, BATON ROUGE, LA 70816",BATON ROUGE,"30.4288536, -91.07778850000001"
LA1555,JASMINES BEAUTY SUPPLY (LA1555),LA,"1555 GARDERE LN, BATON ROUGE, LA 70820",BATON ROUGE,"30.3558629, -91.1263181"
LA9290,JASMINES BEAUTY SUPPLY (LA9290),LA,"9290 GREENWELL SPRINGS RD, BATON ROUGE, LA 70814",BATON ROUGE,"30.4842494, -91.0866987"
LA5630,JASMINES BEAUTY SUPPLY (LA5630),LA,"5630 PLANK RD, BATON ROUGE, LA 70805",BATON ROUGE,"30.50106539999999, -91.15193359999999"
LA209,JASMINES BEAUTY SUPPLY (LA209),LA,"209 HOSPITAL RD, NEW ROADS, LA 70760",NEW ROADS,"30.682167, -91.4640177"
LA14400,HAIR ZONE (LA14400),LA,"14400 PLANK RD, BAKER, LA 70714",BAKER,"30.5775002, -91.1270502"
LA250,HAIR ZONE (LA250),LA,"250 MAIN ST, BAKER, LA 70714",BAKER,"30.5759244, -91.16790519999999"
LA7979,HAIR QUEEN BEAUTY SUPERCENTER (LA7979),LA,"7979 FLORIDA BLVD, BATON ROUGE, LA 70806",BATON ROUGE,"30.4532408, -91.1060778"
LA2272,HAIR QUEEN BEAUTY (LA2272),LA,"2272 N FOSTER DR ST B, BATON ROUGE, LA 70806",BATON ROUGE,"30.4692024, -91.139534"
LA6180,DIVA HAIR & BEAUTY SUPPLY (LA6180),LA,"6180 AIRLINE HWY, BATON ROUGE, LA 70805",BATON ROUGE,"30.4984816, -91.12938059999999"
LA11232,CINDY'S BEAUTY SUPPLIES (LA11232),LA,"11232 N HARRELLS FERRY RD, BATON ROUGE, LA 70816",BATON ROUGE,"30.4323777, -91.058665"
LA13787,JANNA'S BEAUTY SUPPLIES (LA13787),LA,"13787 OLD HAMMOND HWY, BATON ROUGE, LA 70816",BATON ROUGE,"30.44795199999999, -91.0317237"
LA4373,JASMINES BEAUTY SUPPLY (LA4373),LA,"4373 FLORIDA BLVD, BATON ROGUE, LA 4373",BATON ROGUE,"30.4510056, -91.1447867"
LA2120,JEANINE BEAUTY SUPPLY INC (LA2120),LA,"2120 ONEAL LN, BATON ROGUE, LA70816",BATON ROGUE,"30.4378014, -91.00858029999999"
LA2152,HAIR QUEEN BEAUTY (LA2152),LA,"2152 S SHERWOOD FORST BLVD, BATON ROGUE, LA70816",BATON ROGUE,"30.4332012, -91.0586883"
LA1010,NY STYLE (LA1010),LA,"1010 HONDURAS ST, HOUMA, LA 70360",HOUMA,"29.5897088, -90.7181332"
LA6880,NY STYLE #2 BEAUTY SUPPLY (LA6880),LA,"6880 W PARK AVE, HOUMA, LA 70364",HOUMA,"29.609528, -90.7441601"
LA1611,H&S BEAUTY SUPPLY (LA1611),LA,"1611 CANAL BLVD, THIBODAUX, LA 70301",THIBODAUX,"29.7812203, -90.8193754"
LA614,AMERICAN BEAUTY SUPPLY (LA614),LA,"614 ST MARY ST, THIBODAUX, LA 70301",THIBODAUX,"29.7969004, -90.8303052"
LA924,H&S BEAUTY SUPPLY (LA924),LA,"924 JACKSON ST. ,THIBODAUX, LA70301",HIBODAUX,"29.79120279999999, -90.82310559999999"
LA1507,BEAUTY MART (LA1507),LA,"1507 W AIRLINE HWY, LAPLACE, LA 70068",LAPLACE,"30.07200439999999, -90.4954934"
LA1036,LAPLACE BEAUTY MARKET (LA1036),LA,"1036 W AIRLINE HWY #111, LAPLACE, LA 70068",LAPLACE,"30.0711775, -90.4870694"
LA1466,OPRAH BEAUTY SUPPLY (LA1466),LA,"1466 W AIRLINE HWY, LAPLACE, LA 70068",LAPLACE,"30.0738831, -90.495192"
LA1717,OPRAH BEAUTY SUPPLY (LA1717),LA,"1717 W AIRLINE HWY, LAPLACE, LA 70068",LAPLACE,"30.07176669999999, -90.4985059"
LA103,BEAUTY & BEYOND (LA103),LA,"103 LOUISIANA AVE, LAFAYETTE, LA 70501",LAFAYETTE,"30.2249525, -92.0101037"
LA1215,IMAN'S BEAUTY SUPPLY (LA1215),LA,"1215 NW EVANGELINE THRUWAY, LAFAYETTE, LA 70501",LAFAYETTE,"30.2379099, -92.01448169999999"
LA2001,IMAN BEAUTY SUPPLY 2 (LA2001),LA,"2001 MOSS ST, LAFAYETTE, LA 70501",LAFAYETTE,"30.25121409999999, -92.0059679"
LA3611,INFINITE BEAUTY LAFAYETTE (LA3611),LA,"3611 AMBASSADOR CAFFERY PKWY, LAFAYETTE, LA 70503",LAFAYETTE,"30.1760563, -92.0695033"
LA211,LUXE BEAUTY SUPPLY (LA211),LA,"211 W WILLOW ST, LAFAYETTE, LA 70501",LAFAYETTE,"30.2436282, -92.015902"
LA2019,HAIR STAR BEAUTY SUPPLY (LA2019),LA,"2109 W UNIVERSITY AVE #2019, LAFAYETTE, LA 70506",LAFAYETTE,"30.23169699999999, -92.0330352"
LA2716,HAIR PALACE BEAUTY SUPPLY (LA2716),LA,"2718 RODEO RD STE B, ABBEVILLE, LA70510",ABBEVILLE,"29.9758744, -92.10495"
LA4523,DIAMOND BEAUTY SUPPLY (LA4523),LA,"4523 LEE ST #3234, ALEXANDRIA, LA 71302",ALEXANDRIA,"31.2664025, -92.4448038"
LA406,DIAMOND/EBONY BEAUTY SUPPLY (LA406),LA,"406 BOLTON AVE, ALEXANDRIA, LA 71301",ALEXANDRIA,"31.3061763, -92.4577103"
LA311,DIAMOND BEAUTY SUPPLY #3 (LA311),LA,"311 MACARTHUR DR, ALEXANDRIA, LA71301",ALEXANDRIA,"31.2987862, -92.4774549"
LA2216,BUY AND SAVE BEAUTY SUPPLY (LA2216),LA,"2216 MEMORIAL DR B, ALEXANDRIA, LA 71301",ALEXANDRIA,"31.2807025, -92.46080780000001"
LA234,BUY AND SAVE BEAUTY SUPPLY (LA234),LA,"234 BOLTON AVE, ALEXANDRIA, LA 71301",ALEXANDRIA,"31.3067546, -92.4581729"
LA627,JENY'S HAIR AND BEAUTY (LA627),LA,"627 ACTON RD, MARKSVILLE, LA 71351",MARKSVILLE,"31.1170186, -92.0653325"
LA725,OAKDALE BEAUTY SUPPLY (LA725),LA,"725 US-165, OAKDALE, LA 71463",OAKDALE,"30.8002292, -92.6735539"
LA2015,HAIR SAGA (LA2015),LA,"2015 RYAN ST, LAKE CHARLES, LA 70601",LAKE CHARLES,"30.2118118, -93.21804829999999"
LA931,HAIR SAGA (LA931),LA,"931 THIRD AVENUE, LAKE CHARLES, LA 70601",LAKE CHARLES,"30.2242886, -93.1954629"
